dex,factory_address,pair_address,token0,token1,wbtc_is_token0,fee_rate
uniswap_v2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,True,0.003
sushiswap_v2,0xc0aee478e3658e2610c5f7a4a2e1777ce9e4f2ac,0xceff51756c56ceffca006cd410b03ffc46dd3a58,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,True,0.003
