timestamp,open_usd,high_usd,low_usd,close_usd,volume_usd,market_slug,network,pool_address,pool_name,dex_id,reserve_in_usd,volume_h24_usd,fee_bps_from_name,explicit_pool_fee_bps,pool_fee_source,pool_fee_percentage,locked_liquidity_percentage,selected_for_dataset
2026-03-16 08:00:00+00:00,73375.4741672118,73533.1244805319,73297.2014463303,73297.2014463303,23.4084767597615,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 09:00:00+00:00,73297.2014463303,73297.2014463303,72829.4014012469,72829.4014012469,642.7967690707144,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 10:00:00+00:00,72829.4014012469,75161.5831838661,72829.4014012469,75161.5831838661,152.1444981262969,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 11:00:00+00:00,75161.5831838661,75161.5831838661,75161.5831838661,75161.5831838661,0.0,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 12:00:00+00:00,75161.5831838661,75161.5831838661,73147.4610100357,73656.1908882826,1850.5518716846839,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 13:00:00+00:00,73656.1908882826,73906.8296773346,73656.1908882826,73746.4175100221,414.6671113554233,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 14:00:00+00:00,73746.4175100221,73746.4175100221,73003.0400883477,73020.9666695565,677.2849286459017,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 15:00:00+00:00,73020.9666695565,73239.631905466,66964.0489888767,66964.0489888767,87.28337340553728,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 16:00:00+00:00,66964.0489888767,73616.5058842569,66964.0489888767,73616.5058842569,225.4577354036028,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 17:00:00+00:00,73616.5058842569,73685.7978619952,73452.1839099741,73659.7104887941,1134.2209491309545,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 18:00:00+00:00,73659.7104887941,74034.5408428854,73659.7104887941,73988.5550093848,1283.5286310612566,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 19:00:00+00:00,73988.5550093848,74055.1267602392,73100.580079486,74055.1267602392,204.52343428054465,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 20:00:00+00:00,74055.1267602392,75060.9399654846,73802.7292487778,73916.9969584403,358.58261341280087,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
2026-03-16 21:00:00+00:00,73916.9969584403,74198.1582680189,73560.7754429683,74169.1752469237,1061.4034836667558,base_wbtc_weth,base,0xc9289a5ef42eafa9e07665fcacf46127495cc222,WBTC / WETH 0.3%,uniswap-v3-base,26967.9096,7173.7293876179,30.0,30.0,api_detail,0.3,,True
