dex,hour_utc,avg_swap_count,avg_volume_wbtc,avg_volume_weth
sushiswap_v2,0,0.056666666666666664,0.00019036825555555556,0.0062828030417123
sushiswap_v2,1,0.03923766816143498,9.439397421524663e-05,0.003049953177164429
sushiswap_v2,2,0.03666666666666667,0.00013368846111111112,0.004428043087030195
sushiswap_v2,3,0.05,0.0002106705,0.006922179049300039
sushiswap_v2,4,0.03666666666666667,0.00010619618888888889,0.00347987804562493
sushiswap_v2,5,0.05555555555555555,0.00011859306666666666,0.003905792952945042
sushiswap_v2,6,0.055,0.00013751576111111112,0.0045456866028790125
sushiswap_v2,7,0.03833333333333333,0.00014542765555555556,0.004792855003461631
sushiswap_v2,8,0.017777777777777778,6.465100555555556e-05,0.002143755873538451
sushiswap_v2,9,0.04055555555555555,0.00011806549444444446,0.0039111654589401995
sushiswap_v2,10,0.050555555555555555,8.578092222222222e-05,0.0028535285960689044
sushiswap_v2,11,0.049444444444444444,0.00028385727222222224,0.009330643483420303
sushiswap_v2,12,0.049444444444444444,0.00021133684444444442,0.00691162415956314
sushiswap_v2,13,0.06333333333333334,0.00031795609999999997,0.010537683656015493
sushiswap_v2,14,0.035555555555555556,0.00020625469444444445,0.006795297894016989
sushiswap_v2,15,0.03,0.00013300424444444444,0.004347634322885567
sushiswap_v2,16,0.04055555555555555,0.00015249332777777778,0.004974071815947566
sushiswap_v2,17,0.03166666666666667,0.00012928485555555556,0.004238267085731819
sushiswap_v2,18,0.04388888888888889,0.000815728538888889,0.02704742522903587
sushiswap_v2,19,0.07777777777777778,0.0001886620722222222,0.006235459922166562
sushiswap_v2,20,0.11555555555555555,8.389278888888888e-05,0.0027646324859283197
sushiswap_v2,21,0.042777777777777776,0.00012650865,0.004091316125672478
sushiswap_v2,22,0.04722222222222222,0.0002164257388888889,0.007182277241309979
sushiswap_v2,23,0.05555555555555555,0.00022699004444444446,0.007473497266753161
uniswap_v2,0,0.08888888888888889,0.0007462282277777778,0.024565574745713303
uniswap_v2,1,0.15002788622420524,0.0003046538427216955,0.009868549694854288
uniswap_v2,2,0.07055555555555555,0.00047663194444444446,0.015779522057508984
uniswap_v2,3,0.07444444444444444,0.0007462625333333333,0.024544700273051334
uniswap_v2,4,0.051111111111111114,0.0003978653888888889,0.013029394808803503
uniswap_v2,5,0.07888888888888888,0.0005331459500000001,0.01753157959220495
uniswap_v2,6,0.07222222222222222,0.0005152376944444444,0.01701798742700345
uniswap_v2,7,0.06944444444444445,0.0005283852555555556,0.017422585514062998
uniswap_v2,8,0.04388888888888889,0.00026179824999999997,0.00867185125077572
uniswap_v2,9,0.04833333333333333,0.0004157083555555556,0.013768830112653344
uniswap_v2,10,0.05555555555555555,0.00032629036111111114,0.010876877251789893
uniswap_v2,11,0.085,0.0017686396888888889,0.058777169130934837
uniswap_v2,12,0.09,0.0008523671833333334,0.028001058078570347
uniswap_v2,13,0.10777777777777778,0.0011814726722222224,0.039186049809460444
uniswap_v2,14,0.08388888888888889,0.0008341523555555556,0.02749186387985492
uniswap_v2,15,0.06888888888888889,0.0005237642444444444,0.017168114543653565
uniswap_v2,16,0.08555555555555555,0.0006511174777777777,0.021215639179639912
uniswap_v2,17,0.051111111111111114,0.00045580911666666667,0.014978777808483812
uniswap_v2,18,0.09888888888888889,0.00239856405,0.07993490630129435
uniswap_v2,19,0.11388888888888889,0.0007017967777777778,0.023172106956328823
uniswap_v2,20,0.21666666666666667,0.00031069973333333335,0.010228465208754827
uniswap_v2,21,0.07833333333333334,0.0007544569111111112,0.02456662292588931
uniswap_v2,22,0.08777777777777777,0.0008345283500000001,0.027724674660799288
uniswap_v2,23,0.10944444444444444,0.0009225159,0.03035595862203559
