split,observations,actual_positive_count,predicted_positive_count,rmse_bps,mae_bps,correlation,top_10_best_realized_net_edge_bps,top_10_positive_hits
train,76348,0,0,0.16191068215008092,0.11817684273018447,0.9995565007492629,-81.37592839810605,0
validation,16360,0,0,0.4840780305000347,0.4623464752497487,0.939037822337794,-134.55576927987101,0
test,16361,0,0,1.557127555159933,1.5218787188930685,0.9998125807283822,-117.08106230768314,0
all,109069,0,0,0.6459186004253622,0.3803648300035712,0.9969677451012038,-81.37592839810605,0
