split,mean_net_edge_bps,median_net_edge_bps,positive_opportunities,observations
test,-138.5312719662065,-139.1433119339819,0,25856
train,-84.24792925933397,-82.87090153974222,3,120658
validation,-135.28555957041647,-140.12732542277158,1,25856
