timestamp,split,candidate_buy_dex,candidate_sell_dex,price_spread_bps,abs_spread_bps,base_fee_gwei,predicted_net_edge_bps,predicted_opportunity_flag,net_edge_bps,opportunity_flag
2026-04-13 15:52:47+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:48+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:49+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:50+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:51+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:52+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:53+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:54+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:55+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:56+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:57+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:58+00:00,train,sushiswap_v2,uniswap_v2,-59.38854409545669,59.38854409545669,0.183138343,-80.64285537796131,False,-81.37592839810605,False
2026-04-13 15:52:59+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:00+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:01+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:02+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:03+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:04+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:05+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
2026-04-13 15:53:06+00:00,train,sushiswap_v2,uniswap_v2,-53.06872536452345,53.06872536452345,0.188146186,-87.26836868995844,False,-87.67664134478383,False
