notional_wbtc,gross_positive_seconds,gross_positive_share_pct,gross_positive_windows,longest_gross_window_seconds,mean_gross_edge_bps,median_gross_edge_bps,max_gross_edge_bps,net_positive_seconds
0.0001,113713,99.9788986873225,20,22368,3.179055336189475,2.738683186312105,12.644666346350867,0
0.0005,111865,98.35409761115555,19,22368,2.860245849267925,2.4196979208698925,12.326073616337588,0
0.001,92809,81.59965534522627,19,21984,2.461752196114153,2.020988755745085,11.927838878520484,0
0.002,71773,63.104354783403814,22,21984,1.664825568068221,1.2236451388986034,11.1313899845475,0
0.005,37020,32.548774805032664,16,13620,-0.7254690176672544,-1.1677881724206043,8.742207943138139,0
0.01,8640,7.596472563897412,2,8532,-4.707676516506202,-5.151519679709991,4.760786590749747,0
0.02,0,0.0,0,0,-12.666034846274371,-13.111526034597363,-3.1999990645516445,0
0.05,0,0.0,0,0,-36.49278356465053,-36.93205899538211,-27.06591238167969,0
0.1,0,0.0,0,0,-76.04378610848603,-76.43576816796339,-66.78770725550302,0
