dex,mean_reserve_wbtc,median_reserve_wbtc,mean_reserve_weth,median_reserve_weth
sushiswap_v2,96.15145347841283,77.98535673,2927.4549525675334,2638.5051220842684
uniswap_v2,63.141398252356396,59.45289975,1984.2785586356931,1945.7822468666263
