timestamp,buy_dex,sell_dex,gross_edge_weth,gross_edge_bps,fee_cost_weth,fee_cost_bps,gas_cost_weth,gas_cost_bps,net_edge_weth,net_edge_bps,base_fee_per_gas_wei,opportunity_flag,stale_state,split
2026-03-08 01:36:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:37:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:38:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:39:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:40:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:41:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:42:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:43:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:44:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:45:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:46:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:47:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:48:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:49:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:50:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:51:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:52:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:53:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:54:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
2026-03-08 01:55:00+00:00,uniswap_v2,sushiswap_v2,-0.027362892906559022,-79.76500982589376,0.020405125255586576,59.482563560386865,0.0004474981181,,-0.0482155162802456,-140.5520660036807,34082355.0,False,True,train
