timestamp,mid_price_eth_per_btc_sushiswap_v2,mid_price_eth_per_btc_uniswap_v2,reserve_wbtc_sushiswap_v2,reserve_wbtc_uniswap_v2,reserve_weth_sushiswap_v2,reserve_weth_uniswap_v2,swap_count_sushiswap_v2,swap_count_uniswap_v2,volume_wbtc_sushiswap_v2,volume_wbtc_uniswap_v2,volume_weth_sushiswap_v2,volume_weth_uniswap_v2,stale_state_sushiswap_v2,stale_state_uniswap_v2,price_spread_bps,abs_spread_bps,abs_spread_sq,candidate_buy_dex,candidate_sell_dex,cheaper_mid_price_eth_per_btc,dearer_mid_price_eth_per_btc,total_swap_count,total_volume_wbtc,total_volume_weth,stale_any,buy_dex,sell_dex,net_edge_bps,gross_edge_bps,opportunity_flag,base_fee_per_gas_wei,split,base_fee_gwei,candidate_matches_label,predicted_net_edge_bps,predicted_opportunity_flag,prediction_error_bps
2026-03-14 04:52:11+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,1.0,1,0.00158455,0.0048048,0.05368812347096201,0.16279991237955474,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,2.0,0.00638935,0.21648803585051674,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:12+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:13+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:14+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:15+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:16+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:17+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:18+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:19+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
2026-03-14 04:52:20+00:00,33.78385835702432,33.78392637760902,15.71083041,56.90995687,530.7724692426704,1922.6417930489847,0.0,0,0.0,0.0,0.0,0.0,False,False,-0.02013400808964505,0.02013400808964505,0.0004053782817538923,sushiswap_v2,uniswap_v2,33.78385835702432,33.78392637760902,0.0,0.0,0.0,False,uniswap_v2,sushiswap_v2,-141.28260653829756,-80.48605265875835,False,29152680.0,train,0.02915268,False,-140.27126862299002,False,-1.0113379153075357
