timestamp,role,dex,pair_address,block_number,transaction_hash,log_index,amount_base,amount_quote,volume_base,volume_quote,trade_direction
2026-04-11 04:11:53+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150140968,0x4201f5c3a47f66bef39550dcc99924a949755e6a8be50e488947297c1176400b,175,-7.1e-07,2.33681210571e-05,7.1e-07,2.33681210571e-05,buy_base
2026-04-11 16:41:47+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150163465,0x1163ac8e4bd504cd764b81022845265f0510b1889c8a4469da4a5a6f663c33bb,154,4e-07,-1.2915452192385e-05,4e-07,1.2915452192385e-05,sell_base
2026-04-11 18:36:01+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150166892,0x1be960e0bc7a387a0595c79338afdeaa163f60e7eae326e6ef8628bc541a34ee,353,8.1e-07,-2.6089045526902e-05,8.1e-07,2.6089045526902e-05,sell_base
2026-04-11 18:36:53+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150166918,0xecd9b788e8e606901d96dd1c26909bab25da6f78a424a4aff5cf8e0308e2868f,121,2.51e-06,-8.029765372715e-05,2.51e-06,8.029765372715e-05,sell_base
2026-04-11 18:40:27+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150167025,0x536bad72aa3c5a9063c1e88a7e0a91094db070f0b06d2ccac450a49449c9f61d,197,1.5e-07,-4.855833154871e-06,1.5e-07,4.855833154871e-06,sell_base
2026-04-11 19:06:01+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150167792,0x270687ed4b6e76f3daaa8dcf45a92857f03a89f8234d7b25ed64b042306d8dce,101,2.9e-07,-9.224485535281e-06,2.9e-07,9.224485535281e-06,sell_base
2026-04-11 19:06:07+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150167795,0xdf2fc0f307e692a0d2b00cd6e4fd7a94a8656ad4912a3e21e40234e55007ed67,58,2.9e-07,-9.213602881783e-06,2.9e-07,9.213602881783e-06,sell_base
2026-04-11 19:06:09+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150167796,0x124918a966ab1cb2b6d15185131ec6c6e1d35630c864fec13765080666e4f268,40,2.9e-07,-9.202739484885e-06,2.9e-07,9.202739484885e-06,sell_base
2026-04-12 01:46:55+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150179819,0xfbb4b92f536e26e646257be726c190d985715b0a982320fb0a52216739b12237,88,-1.58e-06,5.0574159792601e-05,1.58e-06,5.0574159792601e-05,buy_base
2026-04-12 10:55:01+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150196262,0x644b32391144481f7e3aa7806460d5b305bf6bfb3d259930cbbae496025942de,112,-1.24e-06,4e-05,1.24e-06,4e-05,buy_base
2026-04-13 22:20:07+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150260015,0xbef32fee6e1e96f207bf09c43bd0b7516b1c1a14384953a3292602b42995766d,72,7.7e-07,-2.4665054860873e-05,7.7e-07,2.4665054860873e-05,sell_base
2026-04-13 22:20:35+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150260029,0x20949262c022cf79c2307d277ba4db312987cd78118aa776d92168d3eb72ea14,210,2.2e-07,-7.085106120276e-06,2.2e-07,7.085106120276e-06,sell_base
2026-04-13 22:22:27+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150260085,0x38292dfac0a5ff75ac9281989f3ec73d94e721404e4260f80f975aa3e46ff326,213,6.3e-07,-2.0122890261945e-05,6.3e-07,2.0122890261945e-05,sell_base
2026-04-13 22:23:55+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150260129,0x0a4e23966b9039546af49527a355142f21a7efdfcb4134e833ba583bdb1f3ecc,429,6.6e-07,-2.1025756266747e-05,6.6e-07,2.1025756266747e-05,sell_base
2026-04-13 22:23:57+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150260130,0x80caf97153783a082b8d64166f0dbb8050cd94fa9c6ba579bcead0fe8ba869c8,92,6.3e-07,-2.0017392646224e-05,6.3e-07,2.0017392646224e-05,sell_base
2026-04-13 22:34:13+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150260438,0xfb28cf00966f9c8b593cec5e4dacca4715c80460c46c8edcbd1e7bdf05e1478c,104,7.8e-07,-2.4712505832264e-05,7.8e-07,2.4712505832264e-05,sell_base
2026-04-13 23:24:37+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150261950,0x2e798a1f10ec810e84973172c9bad03505c037106c58c5c26abe09cb5a0b5568,375,1.91e-06,-6.0184962212886e-05,1.91e-06,6.0184962212886e-05,sell_base
2026-04-13 23:27:15+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150262029,0x87590ce10af688546f07ad9edb8fd995e6eb6de8db4b1be65efd7597651910d6,213,6.4e-07,-2.0062747535506e-05,6.4e-07,2.0062747535506e-05,sell_base
2026-04-13 23:29:23+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150262093,0xb06bc169d6a98464025273557b53ec39f098f48d83a9f1ea2f19eb770c306b3d,529,6.4e-07,-2.0010947818675e-05,6.4e-07,2.0010947818675e-05,sell_base
2026-04-13 23:42:57+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150262500,0x9c5845304b6afe13a897d2445710edab02a5305e22615e8526e59dcf1e88787d,291,7.8e-07,-2.47730572736e-05,7.8e-07,2.47730572736e-05,sell_base
2026-04-14 05:13:53+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150272428,0x6a5a731dd9a0fbe9ac277b9a0380c1e22d23e74690a847b1f6ee5653921e61af,4,3.6e-07,-1.12334603685e-05,3.6e-07,1.12334603685e-05,sell_base
2026-04-14 14:39:55+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150289409,0x0df9ef05384b71e194469fba626347c3ebd361c3b844c612cc8c5bf3c3c13a5d,212,-2.39e-06,7.5336124804334e-05,2.39e-06,7.5336124804334e-05,buy_base
2026-04-14 16:25:29+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150292576,0xeb49ea5488ade422bab09af30df4a2ba05c3fb80c449f44b6573a0afce73fc86,99,2e-07,-6.294434634746e-06,2e-07,6.294434634746e-06,sell_base
2026-04-14 17:01:35+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150293659,0xe524d8ccc881a9e9179a5eb68ffb84ba388f707dd67dab62f5fb34392496a7b3,143,-5.8e-07,1.84e-05,5.8e-07,1.84e-05,buy_base
2026-04-14 19:14:23+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150297643,0xb92d99d70522ab6017e45c459b6dae8a585cc4ab09969733fce9682698bfee3b,235,-1.87e-06,6e-05,1.87e-06,6e-05,buy_base
2026-04-15 11:49:43+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150327503,0x590b69d3e9fec12cfd2b6ccb13c0da17a91b247891f42daf814c8728a79fd136,335,7.8e-07,-2.4745870846791e-05,7.8e-07,2.4745870846791e-05,sell_base
2026-04-15 11:54:15+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150327639,0x4a12641f9b9e1a3e893ce6f9642dc926870310fa8508c2239e8792813fc907b6,116,-1.162e-05,0.000436900327300955,1.162e-05,0.000436900327300955,buy_base
2026-04-15 11:54:15+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150327639,0xc52f3b37c1ad158c6f36f0d8d53be9a2a763ca5a79a90fbba14a937b6bcc9f5e,539,7.14e-06,-0.000283692413376154,7.14e-06,0.000283692413376154,sell_base
2026-04-15 11:54:15+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150327639,0xcaf85534b27e0c63acbe447f9d5b61141270ef302b1d657e2cf5692ac3c29fcd,614,4.07e-06,-0.000136587318755328,4.07e-06,0.000136587318755328,sell_base
2026-04-15 16:15:23+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150335473,0xca864a145e2e6a9e2ae8c203409cfeb5620ba075e476bf4db830a4593344048d,227,1.01e-06,-3.1926473829203e-05,1.01e-06,3.1926473829203e-05,sell_base
2026-04-15 17:36:15+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150337899,0x9bc825d6b63a2c28984229520431266c5dcba2de41045cc6e7956e9ec47a5b1a,255,6.1e-07,-1.9219053285652e-05,6.1e-07,1.9219053285652e-05,sell_base
2026-04-15 20:55:55+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150343889,0x4f47b3263d52866da9cec2c824c656258ad371bea831dbd69adbd013b76c4bed,338,8e-08,-2.51700665507e-06,8e-08,2.51700665507e-06,sell_base
2026-04-15 21:34:03+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150345033,0xb90b97195b2b82326f5c2f192563e7328e6a20171c98b4f497ec6371eb89412c,279,5.2e-07,-1.6429273936064e-05,5.2e-07,1.6429273936064e-05,sell_base
2026-04-16 04:51:39+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150358161,0xdaf4ddc7e50f69dacd09fd282a54e2c05c717e8f6ebfd65ed130d0e75649a75b,237,8e-08,-2.516191497602e-06,8e-08,2.516191497602e-06,sell_base
2026-04-16 07:32:51+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150362997,0x39bb6eab5fbbb292bf1f0d9b3cb12e65fed8c5f51e36f2711a855509799e8829,255,-5.8e-07,1.84e-05,5.8e-07,1.84e-05,buy_base
2026-04-16 10:28:25+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150368264,0x98db3dead3f6bd2b69deef6a42870bb07d348173f7507037f35851f50e5348d2,229,-3.1e-07,9.975e-06,3.1e-07,9.975e-06,buy_base
2026-04-16 14:23:49+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150375326,0x62557f9ef3b6c80892d221a429231095a63ab0bfbf106d44639d495eb4ac0f72,109,-1.58e-06,5.0329350326113e-05,1.58e-06,5.0329350326113e-05,buy_base
2026-04-16 19:16:39+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150384111,0x8b4bdf29371aa3cb5b8bc4f55db3a78b2a27bb0ab835ce0f57158d65a73bceee,159,-5.4e-07,1.7119316770816e-05,5.4e-07,1.7119316770816e-05,buy_base
2026-04-16 20:47:01+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150386822,0x11af4a049aa39b8f73f2ebdb299f629ab6bf2267a618cee5ff2d8eb804062435,237,6e-08,-1.905692548425e-06,6e-08,1.905692548425e-06,sell_base
2026-04-16 23:19:43+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150391403,0x4f47d0017fe84517436c5b9af9accf7f36ade8e1cd3665c6cca069b2a1e27b26,277,8.1e-07,-2.5681455966605e-05,8.1e-07,2.5681455966605e-05,sell_base
2026-04-17 07:39:31+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150406397,0x755a62cc6d8307ba8f91c3832c16598ce004139388b6f88bbb090acca45eeb5d,222,3e-08,-9.4954037761e-07,3e-08,9.4954037761e-07,sell_base
2026-04-17 20:17:53+00:00,arb_pair,velodrome_v2,0x17547215d96696de1e1c8a9791d6da18f92045af,150429148,0xa0594fd58d4a2a7f122559b236095c33c1d696a28e119b2db43bbd0319a77c14,225,1e-08,-3.18363013569e-07,1e-08,3.18363013569e-07,sell_base
2026-04-17 22:38:55+00:00,arb_pair,uniswap_v2_optimism,0x8782edc55c8514bf30e36a3585afcadbff525c77,150433379,0x5b451c27c8501779d103a2638d32d74630fb64337a5a3c0c94f48d86c8e55c4c,234,7.8e-07,-2.4647564050989e-05,7.8e-07,2.4647564050989e-05,sell_base
