timestamp,open_usd,high_usd,low_usd,close_usd,volume_usd,market_slug,network,pool_address,pool_name,dex_id,reserve_in_usd,volume_h24_usd,fee_bps_from_name
2026-03-16 08:00:00+00:00,73237.9593099131,73540.2374963212,72787.4536607966,72989.5773396125,43592.95685452054,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 09:00:00+00:00,72989.5773396125,73212.4060759994,72849.8274245079,73092.9775320332,27855.089532723006,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 10:00:00+00:00,73092.9775320332,73538.5015402235,72980.7061179342,73538.5015402235,48256.39262438241,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 11:00:00+00:00,73538.5015402235,73649.730426187,73058.5147119361,73408.3432722538,66825.74682419005,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 12:00:00+00:00,73408.3432722538,73954.1181327232,73070.5606768021,73615.7777667834,150338.8856587024,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 13:00:00+00:00,73615.7777667834,74212.073619579,73569.2833613584,73770.9336954319,97514.98088931854,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 14:00:00+00:00,73770.9336954319,74255.3971068775,72864.88883017,73275.3367013756,107190.24641575375,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 15:00:00+00:00,73275.3367013756,73745.5208980803,73103.8052198524,73154.8885723182,52872.087053714175,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 16:00:00+00:00,73154.8885723182,73694.1470520411,72994.5650445917,73608.2720409183,66399.47047563342,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 17:00:00+00:00,73608.2720409183,73875.0347119299,73429.1236853807,73730.4225949335,62625.244244937974,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 18:00:00+00:00,73730.4225949335,74196.1235664289,73667.2377909363,73828.633157684,67073.32625818082,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 19:00:00+00:00,73828.633157684,74167.6111801987,73650.6090658808,73916.1652011987,56270.54307402602,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 20:00:00+00:00,73916.1652011987,74113.7128685215,73697.987057156,74053.7621510903,33453.14676979904,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 21:00:00+00:00,74053.7621510903,74515.1436203431,73918.4734510106,74232.2057631519,71942.9615656757,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 22:00:00+00:00,74232.2057631519,74794.2116671321,74126.6858187233,74549.0926820182,64716.336736977384,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-16 23:00:00+00:00,74549.0926820182,74756.1945016944,74099.2130587482,74654.9455734488,57229.50394487057,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 00:00:00+00:00,74654.9455734488,75359.2173305314,74435.0299342101,74924.6592768088,100382.91676791653,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 01:00:00+00:00,74924.6592768088,75720.501265089,74894.2278977555,75328.6975275932,86321.47392440433,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 02:00:00+00:00,75328.6975275932,75426.4928084601,74883.8897628366,75005.7017374035,46033.03128521119,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 03:00:00+00:00,75005.7017374035,75104.2214508916,74024.0537827399,74126.2318616537,57878.07420237945,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 04:00:00+00:00,74126.2318616537,74502.0358930222,73803.2429155207,74102.6638767465,63037.52417761681,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 05:00:00+00:00,74102.6638767465,74237.3654906185,73628.3130745057,73893.6511631299,25397.200534308027,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 06:00:00+00:00,73893.6511631299,74112.1476407703,73610.682147584,73859.8875054692,32278.841432523684,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 07:00:00+00:00,73859.8875054692,74274.7646922478,73849.3076684664,74022.8825986136,28760.036328753125,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 08:00:00+00:00,74022.8825986136,74319.6057690968,73928.0940029775,74231.5563937128,35826.69960941333,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 09:00:00+00:00,74231.5563937128,74231.5563937128,73714.5099907841,73736.3503260154,44146.24115671432,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
2026-03-17 10:00:00+00:00,73736.3503260154,73806.7682721167,73432.5229584171,73579.8602716764,32363.65588509675,optimism_wbtc_weth,optimism,0x319c0dd36284ac24a6b2bee73929f699b9f48c38,WETH / WBTC 0.05%,velodrome-finance-slipstream,471010.6933,1652111.263473,5.0
