timestamp,open_usd,high_usd,low_usd,close_usd,volume_usd,market_slug,network,pool_address,pool_name,dex_id,reserve_in_usd,volume_h24_usd,fee_bps_from_name
2026-03-16 08:00:00+00:00,2252.66276940808,2252.75465684804,2242.02489222244,2242.1251430125,2598129.942869073,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 09:00:00+00:00,2242.1251430125,2258.0155163857,2242.12512921676,2257.80801392624,1695576.1065774166,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 10:00:00+00:00,2257.80801392624,2271.48993360539,2257.80801392624,2271.48993360539,2219381.1507869917,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 11:00:00+00:00,2271.48993360539,2273.17773857146,2271.48993360539,2272.4133765592,2239420.006915788,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 12:00:00+00:00,2272.4133765592,2298.67532044208,2272.4133765592,2283.0252450814,5751034.580331764,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 13:00:00+00:00,2283.0252450814,2300.72664971439,2279.3049114929,2284.4371477792,5739778.7644717,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 14:00:00+00:00,2284.4371477792,2297.78962377421,2263.07647209329,2280.6320884393,9728916.88268339,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 15:00:00+00:00,2280.6320884393,2291.21254409966,2277.91745692672,2277.91769740509,3241425.0111008654,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 16:00:00+00:00,2277.91769740509,2294.29498412451,2276.98210324976,2294.29498412451,4019159.2848642473,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
2026-03-16 17:00:00+00:00,2294.29498412451,2312.89970422368,2294.29498412451,2312.89966355782,6722926.045163589,mainnet_weth_usdc,eth,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,WETH / USDC 0.05%,uniswap_v3,101261089.4538,72511819.4216218,5.0
