asset_notional_usd,asset_size_multiple,observed_intervals,size_adjusted_slippage_bps,modeled_fee_tier_bps_per_side,modeled_base_gas_cost_usd,modeled_gas_bps,gross_positive_intervals,gross_positive_share_pct,net_positive_intervals,net_positive_share_pct,mean_gross_edge_bps,median_gross_edge_bps,max_gross_edge_bps,mean_net_edge_bps,median_net_edge_bps,max_net_edge_bps
1000.0,0.1,720,3.794733192202055,5.0,0.25,2.5,651,90.41666666666667,463,64.30555555555556,53.254595114869595,23.119194766551747,912.5415731297122,40.75459511486959,10.619194766551747,900.0415731297122
2500.0,0.25,720,6.0,5.0,0.25,1.0,616,85.55555555555556,455,63.19444444444444,51.04932830707165,20.913927958753803,910.3363063219143,40.04932830707165,9.913927958753803,899.3363063219143
5000.0,0.5,720,8.485281374238571,5.0,0.25,0.5,558,77.5,442,61.38888888888889,48.56404693283308,18.42864658451523,907.8510249476758,38.06404693283308,7.928646584515231,897.3510249476758
10000.0,1.0,720,12.0,5.0,0.25,0.25,514,71.38888888888889,405,56.25,45.04932830707165,14.913927958753803,904.3363063219143,34.79932830707165,4.663927958753803,894.0863063219143
20000.0,2.0,720,16.970562748477143,5.0,0.25,0.125,456,63.33333333333333,358,49.72222222222222,40.078765558594505,9.94336521027666,899.3657435734372,29.953765558594508,-0.1816347897233399,889.2407435734372
50000.0,5.0,720,26.832815729997478,5.0,0.25,0.05,363,50.416666666666664,298,41.388888888888886,30.216512577074173,0.08111222875632507,889.5034905919168,20.166512577074172,-9.968887771243676,879.4534905919169
100000.0,10.0,720,37.94733192202055,5.0,0.25,0.025,295,40.97222222222222,230,31.944444444444443,19.1019963850511,-11.03340396326675,878.3889743998938,9.076996385051094,-21.05840396326675,868.3639743998938
200000.0,20.0,720,53.665631459994955,5.0,0.25,0.0125,206,28.61111111111111,173,24.02777777777778,3.383696847076692,-26.751703501241153,862.6706748619193,-6.628803152923309,-36.764203501241155,852.6581748619193
