trade_size_base,observed_seconds,gross_positive_seconds,net_positive_seconds,max_net_profit_quote,mean_net_profit_quote,max_net_edge_bps,mean_net_edge_bps
0.0005,599867,0,0,-0.00027646054733320845,-0.0003955249943237112,-173.2035736993131,-245.13156663816855
0.001,599867,0,0,-0.0011829098035418984,-0.0013929768049950754,-364.4069421801699,-430.6166383484525
0.0025,599867,0,0,-0.007255664780998323,-0.0077487866276033735,-882.9969697226286,-952.2320262653107
0.005,599867,0,0,-0.026912934137572682,-0.02843556313851859,-1611.5574785509446,-1719.6164902185703
0.01,599867,0,0,-0.0972443106306915,-0.10153863080612287,-2817.3440336193717,-2971.4291482689187
0.025,599867,0,0,-0.4953394812001883,-0.5103024496969175,-5196.644905704017,-5377.511287153738
0.05,599867,0,0,-1.6705582650129396,-1.722389311354571,-7260.890086925478,-7399.095035380717
