trade_size_quote,observed_seconds,non_stale_seconds,gross_positive_seconds,net_positive_seconds,max_net_profit_quote,mean_net_profit_quote,max_net_edge_bps,mean_net_edge_bps
0.05,216109,2075,216109,2075,0.00909959315021873,0.005767070600943732,1819.918630043746,1153.4141201887462
0.1,216109,2075,213698,2075,0.017195286413945923,0.010583530999393676,1719.5286413945923,1058.353099939368
0.25,216109,2075,213698,2075,0.03570840363621508,0.01956625752857967,1428.3361454486032,782.6503011431864
0.5,216109,2075,164985,1606,0.04869465261144845,0.017623857574964173,973.893052228969,352.4771514992834
1.0,216109,2075,19937,29,0.016544366724438264,-0.0412506446167061,165.44366724438265,-412.50644616706114
2.0,216109,2075,0,0,-0.2279987913687449,-0.32939522178969,-1139.9939568437246,-1646.9761089484496
5.0,216109,2075,0,0,-1.8020363059659825,-1.9872379468815546,-3604.0726119319647,-3974.4758937631095
