asset_notional_usd,asset_size_multiple,observed_intervals,liquidity_eligible_intervals,liquidity_eligible_share_pct,explicit_fee_known_intervals,explicit_fee_known_share_pct,observed_close_positive_intervals,observed_close_positive_share_pct,fee_adjusted_close_positive_intervals,fee_adjusted_close_positive_share_pct,conservative_fee_adjusted_positive_intervals,conservative_fee_adjusted_positive_share_pct,median_explicit_fee_total_bps,mean_observed_spread_bps,median_observed_spread_bps,max_observed_spread_bps,mean_fee_adjusted_spread_bps,median_fee_adjusted_spread_bps,max_fee_adjusted_spread_bps,mean_conservative_fee_adjusted_spread_bps,median_conservative_fee_adjusted_spread_bps,max_conservative_fee_adjusted_spread_bps
1000.0,0.1,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
2500.0,0.25,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
5000.0,0.5,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
10000.0,1.0,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
20000.0,2.0,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
50000.0,5.0,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
100000.0,10.0,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
200000.0,20.0,720,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,
