asset_notional_usd,asset_size_multiple,observed_intervals,liquidity_eligible_intervals,liquidity_eligible_share_pct,explicit_fee_known_intervals,explicit_fee_known_share_pct,observed_close_positive_intervals,observed_close_positive_share_pct,fee_adjusted_close_positive_intervals,fee_adjusted_close_positive_share_pct,conservative_fee_adjusted_positive_intervals,conservative_fee_adjusted_positive_share_pct,median_explicit_fee_total_bps,mean_observed_spread_bps,median_observed_spread_bps,max_observed_spread_bps,mean_fee_adjusted_spread_bps,median_fee_adjusted_spread_bps,max_fee_adjusted_spread_bps,mean_conservative_fee_adjusted_spread_bps,median_conservative_fee_adjusted_spread_bps,max_conservative_fee_adjusted_spread_bps
1000.0,0.1,720,540,75.0,540,75.0,540,75.0,3,0.4166666666666667,0,0.0,60.0,19.98046286834813,21.721997120008886,100.77680274307666,-40.01953713165187,-38.278002879991114,40.77680274307666,-108.65339205455854,-99.47916489043801,-35.10862035300816
2500.0,0.25,720,531,73.75,531,73.75,531,73.75,3,0.4166666666666667,0,0.0,60.0,20.000313051409744,21.70522970097677,100.77680274307666,-39.99968694859026,-38.29477029902323,40.77680274307666,-109.38224344608582,-99.83115467358967,-35.10862035300816
5000.0,0.5,720,510,70.83333333333334,510,70.83333333333334,510,70.83333333333334,3,0.4166666666666667,0,0.0,60.0,20.045292064648358,21.682059265761833,100.77680274307666,-39.95470793535164,-38.317940734238164,40.77680274307666,-110.89829324844469,-101.36967059904794,-36.588533338353045
10000.0,1.0,720,475,65.97222222222221,475,65.97222222222221,475,65.97222222222221,3,0.4166666666666667,0,0.0,60.0,20.053872213479806,21.738764539041,100.77680274307666,-39.9461277865202,-38.261235460959,40.77680274307666,-112.86778971342369,-103.51027382054284,-43.95690272189551
20000.0,2.0,720,420,58.333333333333336,420,58.333333333333336,420,58.333333333333336,2,0.2777777777777778,0,0.0,60.0,20.17026348919272,21.790998588968602,100.77680274307666,-39.82973651080727,-38.209001411031394,40.77680274307666,-117.9160101519284,-107.96805696013041,-46.84068598727048
50000.0,5.0,720,285,39.58333333333333,285,39.58333333333333,285,39.58333333333333,2,0.2777777777777778,0,0.0,60.0,20.10825902000651,21.823779480085737,100.77680274307666,-39.891740979993486,-38.17622051991427,40.77680274307666,-133.53468044371147,-124.31772969708427,-49.247338645450554
100000.0,10.0,720,154,21.38888888888889,154,21.38888888888889,154,21.38888888888889,1,0.1388888888888889,0,0.0,60.0,20.55848501902859,22.375997577377404,89.5075855869476,-39.44151498097141,-37.624002422622596,29.5075855869476,-157.30907281140307,-148.5094056240726,-74.64332477165264
200000.0,20.0,720,59,8.194444444444445,59,8.194444444444445,59,8.194444444444445,1,0.1388888888888889,0,0.0,60.0,21.694136833607626,22.817673267381267,89.5075855869476,-38.30586316639238,-37.18232673261873,29.5075855869476,-193.32897560384123,-182.63948956412253,-98.0164394527105
