window_id,start_timestamp,end_timestamp,seconds,buy_dex,sell_dex,max_net_edge_bps_floor,mean_net_edge_bps_floor,max_net_profit_quote_floor,mean_net_profit_quote_floor
27,2026-04-15 19:00:45+00:00,2026-04-15 19:02:02+00:00,78,raydium_cpmm,meteora_damm_v2,1733.4571385777945,1733.4571385777945,0.013090686663137476,0.013090686663137476
30,2026-04-15 20:04:15+00:00,2026-04-15 20:24:43+00:00,1229,raydium_cpmm,meteora_damm_v2,1732.0496311979266,1705.5743389042123,0.013178215592135892,0.012940996693103852
35,2026-04-15 23:15:18+00:00,2026-04-15 23:25:37+00:00,620,raydium_cpmm,meteora_damm_v2,1729.3032634234478,1710.4271471893182,0.013093601066213809,0.012942978773549663
37,2026-04-16 00:26:00+00:00,2026-04-16 00:36:01+00:00,602,raydium_cpmm,meteora_damm_v2,1724.615805575826,1716.8743474368348,0.01303251095305263,0.012974011210275338
32,2026-04-15 21:02:53+00:00,2026-04-15 21:26:25+00:00,1413,raydium_cpmm,meteora_damm_v2,1724.374263962767,1715.3402002616358,0.013037455737400576,0.012946295280578366
20,2026-04-15 14:50:10+00:00,2026-04-15 15:00:10+00:00,601,raydium_cpmm,meteora_damm_v2,1724.0905834246942,1714.1852014188587,0.012939187433586288,0.012864848187373257
19,2026-04-15 14:39:28+00:00,2026-04-15 14:49:28+00:00,601,raydium_cpmm,meteora_damm_v2,1721.3271550732918,1713.1468532963129,0.012901284555365166,0.012839973490433369
16,2026-04-15 12:37:24+00:00,2026-04-15 12:49:00+00:00,697,raydium_cpmm,meteora_damm_v2,1720.6029877766825,1708.582531176721,0.012820590635840096,0.012742089409303697
15,2026-04-15 11:52:59+00:00,2026-04-15 12:04:04+00:00,666,raydium_cpmm,meteora_damm_v2,1717.247110361922,1709.2179809144884,0.012774410311243089,0.01272283641958685
14,2026-04-15 10:47:52+00:00,2026-04-15 10:57:15+00:00,564,raydium_cpmm,meteora_damm_v2,1716.1612135685173,1706.9964906122555,0.012755181847435678,0.012696976283522966
