timestamp,buy_dex,sell_dex,trade_size_base,market_price_quote_per_base,gross_edge_quote,gross_edge_bps,pool_fee_cost_quote_floor,pool_fee_cost_bps_floor,edge_after_pool_fees_quote_floor,edge_after_pool_fees_bps_floor,network_fee_quote_floor,network_fee_bps_floor,network_fee_quote_p95,network_fee_bps_p95,net_edge_quote_floor,net_edge_bps_floor,net_edge_quote_p95,net_edge_bps_p95,stale_state,positive_after_pool_fees_floor,positive_after_network_floor,positive_after_network_p95
2026-04-15 02:31:08+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:09+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:10+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:11+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:12+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:13+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:14+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:15+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:16+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
2026-04-15 02:31:17+00:00,raydium_cpmm,meteora_damm_v2,0.001,81.3982799119448,0.013216478463471973,1760.8164090262162,0.00044529034491415376,59.325526710676364,0.012771188118557819,1701.4908823155397,0.000406991399559724,54.22300173665523,0.008668265624382825,1154.8631801879774,0.012364196718998095,1647.2678805788846,0.0041029224941749945,546.6277021275623,False,True,True,True
